id,country_name,nick_name,description_name
47,Congo DR,Les Léopards / The Leopards,"Between 1960 and 1965, they were called the Lions. From 1965 till 1997 they were the Leoopards, before reverting back to the Simbas (“the Lions” in Swahili) from 1997 till 2006. However this Swahili name was unpopular to non-Swahili speakers, so they again became the Leopards."
48,Cook Islands,Soka Kuki Airani,"“the National Team” in Maori, the Green and Whites"
49,Costa Rica,Los Ticos,"Spanish slang for natives of Costa Rica. Also la Tricolor (“the Tricolors” in Spanish), la Roja (“the Reds”), la Sele (“the Selection”"
50,Cote d’Ivoire,Les Éléphants,"The Elephants (in French), due to their part in the 19th century Ivory trade"
51,Croatia,Vatreni,meaning Fiery boys. Also sometimes Kockasti (The Chequereds)
52,Cuba,la Tricolor,meaning “the Tricolors” (in Spanish). Also los Leones del Caribe (“the Lions of the Caribbean”)
53,Curaçao,?,
54,Cyprus,I Galanolefki,“the White and Blues” in Greek
55,Czech Republic,Lokomotiva,"The Locomotive. Also Cesti Lvi ( ""the Czech Lions” in Czech), Narodny Tym (“the National Team” in Czech)"
56,Demark,Danish Dynamite,
57,Djibouti,les Riverains de la Mer Rouge,the Young Red Sea in French
58,Dominica,Dominica Team,"maybe  ""los Pericos"""
59,Dominican Republic,los Quisqueyanos,a slang term for Dominicans in Spanish
60,Ecuador,la Tri or la Tricolor,the Tricolor (in Spanish)
61,Egypt,the Pharaohs,
62,El Salvador,Los Guanacos or La Selecta,“Guanaco” is Spanish slang for citizens of El Salvador
63,England,the Three Lions,
64,Equatorial Guinea,la Nzalang Nacional,“the National Lighting” (in Fang). Also Veve Nacional (“the National Sparkle” in Fang).
65,Eritrea,the Red Sea Boys,
66,Estonia,Sinisargid,“the Blues” in Estonian
67,Eswatini,Sihlangu Semnikati,“the Shield of His Majesty” in Swazi
68,Ethiopia,Walyas,a species of wild goat
69,Faroe Islands,Landslidid,“the National Team” in Faroese
70,Fiji,Bula Boys,"Bula is a fijian greeting. Also sometimes ""Timi ni viti"", meaning “the National Team” in Fijian"
71,Finland,Sinivalkoiset,“the White and Blues” in Finnish
72,France,les Bleus,meaning 'the blues' in French
73,Gabon,Les Panthères,the Panthers” in French
74,Gambia,the Scorpions,
75,Georgia,Jvarosnebi,meaning “the Crisaders” in Georgian. Also Erovnuli Nakrevi (“the National Team” in Georgian)
76,Germany,"Die Nationalmannschaft, or Die Nationalelf","meaning 'The National Team', 'The National Eleven' (in German). Outside of Germany, simply 'Die Mannschaft' (The Team) is commonly used."
77,Ghana,the Black Stars,a reference to the sole black star on Ghana's flag
78,Greece,I Galanolefki,"translates as “the Sky Blue and White team” in Greek. They are also sometimes referred to as Ethniki Ellados (“the Greek Team” in Greek) and ''To Peiratikó'' (“Pirates” in Greek) though the pirates is not an official nickname, it just came about after they won Euro 2004."
79,Grenada,the Spice Boyz,
80,Guam,Matao,"""Matao"" refers to the people in the upper class of the ancient Guam society. Previously the team was known as ""the Men in Blue and White""."
81,Guatemala,el Equipo Chapin,“Chapin” is Spanish slang for a citizen of Guatemala. also la Azul y Blanco (“the Blue and Whites” in Spanish) and la Bicolor (“the Bicolors”)
82,Guinea,Syli Nationale,"the National Elephants. Syli is a word in Sousou, a Guinean language, which means Elephant."
83,Guinea-Bissau,os Djurtus,Creole for a species of fox
84,Guyana,"The Golden Jaguars, the Guy Stars",
85,Haiti,les Bicolores,"les Bicolores means “the Bicolors” in French. There are also several other names that they are known by, including:
Les Grenadiers
Le Rouge et Bleu
La Sélection Nationale 
l’Onze national (“the National Eleven” in French) 
Toup Pou Yo"
86,Honduras,Los Catrachos,"Catracho is Spanish slang for a citizen of Honduras, therefore meaning 'the Hondurans'. Also la Bicolor (“the Bicolors” in Spanish)"
87,Hong Kong,Hong Kong Team,
88,Hungary,Valogatott,“the National Team” in Hungarian). Also the Magical Magyars (particularly in relation to the Hungary team of the 1950s)
89,Iceland,Strakamir Okkar,“Our Boys” in Icelandic
90,India,Blue Tigers,"The Indian National team are also sometimes referred to as the ""Bhangra Boys"" (Bhangra is a dance originating from the Punjab region)"
91,Indonesia,Merah Putih,"meaning “the Red and Whites”. Another nickname for the Indonesian Football Team is ""Garuda"" (see comments below)"
92,Iran,Team Melli,meaning the National Team (in Persian). Also Shirants Perse / Shiran-e Pars (“the Persian Lions” in Persian).
93,Iraq,Osod Al Rafideen,"“the Lions of the Two Rivers” in Arabic, also the Babylon Lions"
94,Israel,Nivheret Hatchelet,“the Sky Blue Team” in Hebrew
95,Italy,Azzurri,"Azzurri is the plural of Azurro (Blue), terefore Azurri means ""The Blues"". The team is also sometimes referred to as la Nazionale (“the National Team”)."
96,Jamaica,Reggae Boyz,
97,Japan,Samurai Blues,also Nihon Daihyo (“Japanese Representatives” in Japanese)
98,Jordan,Al Nashama,“the Brave” in Arabic
99,Kazakhstan,Kazakhstanskie barsy,“the Snow Leopards” in Russian
100,Kenya,the Harambee Stars,“Harambee” means “We will work together” in Swahili and is also the country’s motto.
101,North Korea (Korea DPR),Chollima,"A Korean mythical horse, translates as ""thousand-mile horse"" and is portrayed as a mythical winged horse."
102,South Korea (Korea Republic),Asian Tigers or Taeguk Warriors,also the Red Devils. The Taeguk symbol of two hands clasping is in the middle of the Korean flag.
103,Kuwait,Al Azraq,“the Blues” in Arabic
104,Kyrgyzstan,Krasnaya Sbornaya,“the Red Team” in Russian
105,Laos,Thim Xad,“the National Team” in Laos
106,Latvia,Izlase,“the National Team” in Latvian
107,Lebanon,Al Aarz,“the Team of Cedars” in Arabic
108,Lesotho,the Likuena,“the Crocodile” in Sesotho
109,Liberia,the Lone Star,
110,Libya,Al Akhdar,“the Greens” in Arabic
111,Liechtenstein,Nati,"short for “Nationalmannschaft”, meaning “National Team” in German"
112,Lithuania,Rinktine,“the National Team” in Lithuanian
113,Luxembourg,D’Leiwen,“the Lions” in Luxembourgish
114,Macau,a Equipa Verde,“the Green Team” in Portuguese
115,Macedonia (Republic of North),"Црвени Рисови / 
Crveni Risovi","“The Red Lynx”. Also known as Црвено-Жолти / Crveno-Žolti, meaning Red-Yellow."
116,Madagascar,Bareas,"a species of zebu, which appears of the country’s coat of arms"
117,Malawi,the Flames,the word “Malawi” itself means “flames” in Chichewa
118,Malaysia,Harimau Malaysia,“Malaysian Tigers”
119,Maldives,Red Snappers,The Red snapper is type of fish abundant in the waters around the Maldives. The team has also been known as Guamee Team - “the National Team” in Dhivehi.
120,Mali,Les Aigles,The Eagles (in French)
121,Malta,Knights of St John,
122,Mauritania,les Mourabitounes,after an ancient dynasty that ruled Mauritania
123,Mauritius,Club M,"Also ""les Dodos"" after the dodo bird"
124,Mexico,el Tri / el Tricolor / Tricolores,"also less commonly uses the alternative nickname of ""Los Aztecas""."
125,Moldova,Selectionata,“the Selection” in Moldovan
126,Mongolia,"Blue Wolves 
( Хөх чононууд )","Blue Wolf is a symbol of Turkic and Mongolian people.
Named after the Mongolian Blue Wolf legend. The team has also been known in the past as ""Shegshee"", which means “the National Team” in Mongolian."
127,Montenegro,Hrabri sokoli,“The Brave Falcons” in Serbian
128,Montserrat,the Emerald Boys,
129,Morocco,"les Lions de l’Atlas, Atlas Lions","“the Lions of Atlas” (in French), named after the Atlas Mountains"
130,Mozambique,the Mambas,the most poisonous snake in Africa
131,Myanmar,White Angels,"also Latywesinahthin, “the National Team” in Myanmar"
132,Namibia,the Brave Warriors,
133,Nepal,Gorkhalis,"Gorkhalis means the inhabitants of Gorkha. Nepal was frequently called the Gorkhali Kingdom. Sometimes they are also called ""Rastriya Toli"", meaning “the National Team” in Nepalese."
134,Netherlands / Holland,Oranje,meaning 'orange' (in Dutch)
135,Netherlands Antilles,e Selekshon,“the Selection” in Papiamento
136,New Caledonia,les Cagous,French for the kagu bird that is native to New Caledonia. Also known as les Rouges et Gris (“the Red and Greys” in French).
137,New Zealand,the All Whites,
138,Nicaragua,la Azul y Blanco,meaning “the Blues and Whites”. Also known as el Equipo Pinolero (“Pinolero” is a slang for a citizen of Nicaragua)
139,Niger,the Mena,a species of antelope
140,Nigeria,the Super Eagles,a reference to the Eagle in the country's Coat of Arms. The name was changed from Green Eagles to the Super Eagles.
141,Northern Mariana Islands,Blue Ayuyus,"In the local Chamorro dialect, the ""y"" is pronounced like a ""z."" So it is pronounced ah-zu-zus. An ayuyu is a large land crab that is prized as a delicacy. Both the men and women's teams use this nickname."
142,Northern Ireland,the Green and White Army,
143,Norway,Landslaget,“the National Team” in Norwegian
144,Oman,Al Ahmar,“the Reds” in Arabic
145,Pakistan,the Green and White Team,
146,Palestine,Al Muntakhab,“the National Team” in Arabic
147,Panama,Marea Roja,“the Red Tide”. Also known as el Equipo Canalero (“the Canal Team”)
148,Papua New Guinea,PNG Team – Nesenol Tim,“the National Team” in Tok Pisin
149,Paraguay,Guaraníes,also La Albirroja (White and red in Spanish)
150,Peru,la Blanquirroja,“the White and Reds” in Spanish
151,Philippines,Azkals,"Derived from the word askal, meaning “the Stray Dogs” in Philipino. They are also known as the ""Tri-Stars"" (From the three stars on their flag)."
152,Poland,Bialo-Czerwoni,White-Reds ( in Polish). Also Polskie Orly (“ the Polish Eagles” in Polish)
153,Portugal,Selecção das Quinas,"in Portuguese the word ""QUINAS"" is a 5 sided Polyhedron, representing the ""Forts"" (Castles) Conquered from the Moors, in the ""Foundation"" of Portugal in 1143."
154,Puerto Rico,El Huracán Azul,"Spanish for ""The Blue Hurricane"""
155,Qatar,Al Ennabi,“the Crimsons” in Arabic
156,Republic of Ireland,the Boys in Green,
157,Romania,Tricolorii,Three Colored Ones (in Romanian)
158,Russia,Sbornaya,"The nickname Sbornaya for Russia is foreign. In Russian it's not a nickname but just a noun (originally an adjective) meaning 'national team' or 'selected team', i.e. the word is applied to any national/selected team in any sport."
159,Rwanda,Amavubi,“the Wasps” in Kinyarwanda
160,Samoa,Manumea,after a native bird
161,San Marino,la Serenissima,“the Most Serene” in Italian
162,Sao Tome e Principe,os Verde-Amarelos,“the Green and Yellows” in Portuguese
163,Saudi Arabia,Al Sogour Al Akhdar,“the Green Hawks/Falcons” (in Arabic). Also Ouilad Al Sahraa (“the Sons of the Desert” in Arabic)
164,Scotland,The Tartan Terriers,"""The Tartan Beasts"" is also used in some parts of the country. The ""Tartan Army"" is also used, particularly in reference of Scotland’s fans."
165,Senegal,Les Lions de la Teranga,The Lions of Teranga / the Lions of Hospitality (in French). “Teranga” originates from the Wolof language.
166,Serbia,Plavi,"the blue, or Orlovi (“the eagles” in Serbian)"
167,Seychelles,the Pirates,
168,Sierra Leone,the Leones Stars,
169,Singapore,the Lions,
170,Slovakia,Repre,"In Slovakia the team is typically referred to as the Repre (Representation) or Národný tím (National team). However, in foreign media, they are often incorrectly described as Bojovní Jondovci (The Fighting Jondas)."
171,Slovenia,Fantje,"Meaning 'the boys'.However, the team's wikipedia page says that Slovenia does not have a nickname. They are sometimes incorrectly called The (Green) Dragons, a symbol of the Slovenian capital Ljubljana. There are also some references that the Slovenian team nickname is Reprezentanca, meaning “the Representatives” in Slovenian."
172,Solomon Islands,the Bonitos,after a species of fish similar to tuna
173,Somalia,the Ocean Stars,
174,South Africa,Bafana Bafana,"""the boys, the boys"" in isiZulu.The name was coined by journalist Sibusiso Mseleku in 1992"
175,Spain,La Furia Roja,meaning 'The Red Fury'. Also la Seleccion (“the Selection” in Spanish).
176,Sri Lanka,Brave Reds,"also sometimes known as Papandu Kandyama, which means “the National Team” in Sinhalese."
177,St Kitts and Nevis,The Sugar Boyz,
178,St Lucia,The Piton,
179,St Vincent and the Grenadines,the Vincy Heat,
180,Sudan,Sokoor Al-Jediane,Desert Hawks. Also the Nile Crocodiles
181,Suriname,Natio,"Natio stands for the abbreviation of national, and national refers to national team. Other names that are used are A-Selektie, which means “the A Selection” in Dutch, and Suriboys."
182,Sweden,Blågult,the Blue and Yellows (in Swedish). Also Kronos (“the Crowns” in Swedish).
183,Switzerland,"Schweizer Nati, or just Nati",meaning 'The Nats' – short for Nationals
184,Syria,Al Ahmar,the Reds” in Arabic
185,Tahiti,Toa Aito,"in Tahitian means ""The Iron Warriors"". In French, it is Les guerriers de fer. It was previously believed to be ""L'Equipe du Fenua"", the Island team - “fenua” means “island” in Tahitian. "
186,Tajikistan,Dastai Muntakhabi,“the National Team” in Tajik
187,Tanzania,the Taifa Stars,“Taifa” is Swahili for country. Also known as the Kilimanjaro Stars
188,Thailand,'War Elephants',"also known as Team Chart Tai, “the National Team” in Thai"
189,Timor-Leste,O Sol Nascente,Meaning 'The Rising Sun' in Portugeuese. Also known as The Little Samba Nation and El Lafaek.
190,Togo,les Eperviers,the hawks or Sparrowhawks (in French)
191,Tonga,Timi Fakafomua,“the National Team” in Tongan
192,Trinidad & Tobago,The Soca Warriors,named after a local musical genre
193,Tunisia,Les Aigles de Carthage,The Eagles of Carthage (in French)
194,Turkey,Ay Yıldızlılar (or Ay Yildiz,meaning Crescent Stars
195,Turkmenistan,Akhal-Teke,meaning the Dark Horses
196,Turks and Caicos Islands,TCI Team,"maybe also ""the Ripsaw Boys"""
197,Uganda,the Cranes,the bird which appears on their crest
198,Ukraine,Zbirna or Sbirna,national team (in Ukrainian)
199,United Arab Emirates,Al Sukoor,“the Eagles” in Arabic
200,Uruguay,Charrúas,also La Celeste Olímpica (The Olympic Sky Blue)
201,US Virgin Islands,The Dashing Eagle,"The Dashing Eagle is the American symbol of power and grace, transformed to embody the unique optimism, flair, and self-determination of the islands."
202,USA,The Stars and Stripes,Other names that are used are Team USA and The Yanks. There does not appear to be an official name.
203,Uzbekistan,White Wolves (Oq boสปrilar/Oา  ะฑั pะธะปap),"also sometimes known as Terma Jamoasi, meaning “the National Team” in Uzbek."
204,Vanuatu,the Men in Black and Gold,
205,Venezuela,la Vinotinto,meaning “the Burgundies” in Spanish - because of the burgundy color of their shirts. They are also know by the names Los Llaneros (The Plainsmen) and La Remolacha Mecanica (The Clockwork Beet).
206,Vietnam,Doituyen Qocdia,“the National Team” in Vietnamese. Other names used are: Những chiến binh đỏ (The Red Warriors) and Ngôi sao vàng (The Golden Star).
207,Wales,the Dragons,
208,Yemen,Al Yemen al Saeed,“Happy Yemen” in Arabic
209,Zaire,Leopards,
210,Zambia,Chipolopolo,"The Copper Bullets (in Bemba). The word comes from the copper mines in Kitwe. The team was formerly known as the KK 11, after the founding president Kenneth Kaunda, but changed the nickname in 1993."
211,Zimbabwe,the Warriors,
